department_code,subject_number,subject_name,room_required,required_lab_category,specific_equipment/software_lab,classes_per_week,duration,,,
CSA,AMU-205-V,Psychology for Animation,LECTURE HALL,,,3,1,,,
CSA,AEC-102-V,"Communication, Mediation and Resolution (CMR)",LECTURE HALL,,,3,1,,,
CSA,VAC-201-V,Environmental Studies-II,LECTURE HALL,,,2,1,,,
CSA,AMU-207-V,Traditional Animation –II Lab,LAB,Computer Lab;Animation Lab,,2,4,,,
CSA,AMU-209-V,3D Concept Designing Lab,LAB,Computer Lab;3D VFX Lab,,1,2,,,
CSA,AMU-213-V,Java Programming Lab,LAB,Computer Lab,Visual Studio Code (VS Code),1,2,,,no computer center in rooms sheet
CSA,AMU-211-V,Digital Audio & Video Editing Lab,LAB,Computer Lab;Animation Lab,,2,3,,,
CSA,AMU-301-V,Fundamentals of Visual Effects,LECTURE HALL,,,3,1,,,
CSA,AMU-303-V,UI/UX Design,LECTURE HALL,,,3,1,,,
CSA,AMU-305-V,Python Programming,LECTURE HALL,,,3,1,,,
CSA,AMU-307-V,Interior & Exterior Design,LAB,Computer Lab;3D VFX Lab,,2,4,,,
CSA,AMU-309-V,Motion Graphics,LAB,Computer Lab;Animation Lab,,2,4,,,
CSA,AMU-311-V,UI/UX Design Lab,LAB,Computer Lab;Animation Lab,,1,2,,,
CSA,AMU-313-V,Fundamentals of Visual Effects Lab,LAB,Computer Lab;3D VFX Lab,,1,2,,,
CSA,AMU-315-V,Python Programming Lab,LAB,Computer Lab,Visual Studio Code (VS Code),1,2,,,no computer center in rooms sheet
CSA,AMU-401-V,Game Design-II (Game Development),LECTURE HALL,,,3,1,,,
CSA,AMU-403-V,3D Visual Effects (Fluids Effects),LECTURE HALL,,,3,1,,,
CSA,BGC-425-V,Virtual Reality & Augmented Reality,LECTURE HALL,,,3,1,,,
CSA,AMU-405-V,Innovation and Star-ups,LECTURE HALL,,,4,1,,,
CSA,AMU-407-V,Advance Digital Compositing,LAB,Computer Lab;3D VFX Lab,,2,4,,,
CSA,AMU-409-V,Advance 3D Animation,LAB,Computer Lab;3D VFX Lab,,2,4,,,
CSA,AMU-411-V,Game Design-II (Game Development Lab),LAB,Computer Lab;3D VFX Lab,,1,2,,,
CSA,AMU-413-V,3D Visual Effects (Fluids Effects Lab,LAB,Computer Lab;3D VFX Lab,,1,2,,,
CSA,BGC-435-V,Virtual Reality & Augmented Reality Lab,LAB,Computer Lab;3D VFX Lab,,1,2,,,
CSA,MSC-AM-26-101,Animation & Storytelling,LECTURE HALL,,,2,2,,,
CSA,MSC-AM-26-102,Virtual Reality & Augmented Reality,LECTURE HALL,,,3,1,,,
CSA,MSC-AM-26-103,Audio-Video Production Techniques,LECTURE HALL,,,2,2,,,
CSA,MSC-AM-26-106-A,Elective–I (2D Character Design),LECTURE HALL,,,1,2,,,
CSA,MSC-AM-10-108-A,Lab Based Elective–I (2D Character Design Lab),LAB,Computer Lab,Animation Lab,1,4,,,
CSA,MSC-AM-26-107-D,Elective–II (Digital Graphics),LECTURE HALL,,,1,2,,,
CSA,MSC-AM-26-109-D,Elective–II Lab (Digital Graphics Lab),LAB,Computer Lab,Animation Lab,1,4,,,
CSA,MSC-AM-26-104,Virtual Reality & Augmented Reality Lab,LAB,Computer Lab,3D VFX Lab,1,2,,,
CSA,MSC-AM-26-105,Audio-Video Production Techniques Lab,LAB,Computer Lab,3D VFX Lab,1,4,,,
CSA,AMP-213-V,3D ANIMATION,LECTURE HALL,,,1,1,,,
CSA,AMP-223-V,3D ANIMATION LAB,LAB,Computer Lab,Animation Lab,2,4,,,
CSA,AEC-315-V,OPEN ELECTIVe (Personality Development and Soft Skills),LECTURE HALL,,,3,1,,,
