section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id,
MCA 3rd,MCA-201-V,CSA07,no,,Big Data
MCA 3rd,MCA-203-V,CSA06,no,,.Net Technology
MCA 3rd,MCA-205-V,CSA03,no,,Soft Computing
MCA 3rd,MCA-224-V,CSA03,no,,Data Warehousing & Data Mining
MCA 3rd,MCA-232-V,CSA24,no,,Network Security
MCA 3rd,MCA-207-V,CSA07,no,,Hadoop LAB
MCA 3rd,MCA-209-V,CSA06,no,,Dot Net programming using C# and / or VB. Net LAb
MCA 3rd,MCA-211-V,CSA03,no,,Soft Computing LAB
MCA 3rd,MCA-215-V,CSA05,no,,Seminar
BSC AM 1ST SEM,AMU-101-V,CSA14,no,,Visual Arts
BSC AM 1ST SEM,AMU-103-V,CSA16,no,,Introduction to Film Making
BSC AM 1ST SEM,AMU-105-V,CSA25,no,,Fundamentals of Information and Web Technology
BSC AM 1ST SEM,OSU-123-V,MATH15,no,,Mathematics
BSC AM 1ST SEM,AEC-101-V,CSA08,no,,Writing Skills and the Art of Rhetoric (WSAAR)
BSC AM 1ST SEM,VAC-101-V,ES10,no,,Environment Studies-I
BSC AM 1ST SEM,AMU-107-V,CSA12,no,,Graphics Design-I
BSC AM 1ST SEM,AMU-109-V,CSA14,no,,Visual Art Lab
BSC AM 1ST SEM,AMU-111-V,CSA25,no,,Fundamentals of Information and Web Technology Lab
BSC AM 3rd SEM,AMU-201-V,CSA14,no,,Concept Designing
BSC AM 3rd SEM,AMU-203-V,CSA25,no,,Java Programming
BSC AM 3rd SEM,AMU-205-V,CSA16,no,,Psychology for Animation
BSC AM 3rd SEM,AEC-102-V,CSA08,no,,"Communication, Mediation and Resolution (CMR)"
BSC AM 3rd SEM,VAC-201-V,ES08,no,,Environmental Studies-II
BSC AM 3rd SEM,AMU-207-V,CSA27,no,,Traditional Animation –II Lab
BSC AM 3rd SEM,AMU-209-V,CSA14,no,,3D Concept Designing Lab
BSC AM 3rd SEM,AMU-213-V,CSA25,no,,Java Programming Lab
BSC AM 3rd SEM,AMU-211-V,CSA16,no,,Digital Audio & Video Editing Lab
BSC AM 5th SEM,AMU-301-V,CSA11,no,,Fundamentals of Visual Effects
BSC AM 5th SEM,AMU-303-V,CSA16,no,,UI/UX Design
BSC AM 5th SEM,AMU-305-V,CSA25,no,,Python Programming
BSC AM 5th SEM,AMU-307-V,CSA13,no,,Interior & Exterior Design
BSC AM 5th SEM,AMU-309-V,CSA11,no,,Motion Graphics
BSC AM 5th SEM,AMU-311-V,CSA16,no,,UI/UX Design Lab
BSC AM 5th SEM,AMU-313-V,CSA11,no,,Fundamentals of Visual Effects Lab
BSC AM 5th SEM,AMU-315-V,CSA25,no,,Python Programming Lab
BSC AM 7th SEM,AMU-401-V,CSA16,no,,Game Design-II (Game Development)
BSC AM 7th SEM,AMU-403-V,CSA11,no,,3D Visual Effects (Fluids Effects)
BSC AM 7th SEM,BGC-425-V,CSA12,no,,Virtual Reality & Augmented Reality
BSC AM 7th SEM,AMU-405-V,CSA15,no,,Innovation and Star-ups
BSC AM 7th SEM,AMU-407-V,CSA27,no,,Advance Digital Compositing
BSC AM 7th SEM,AMU-409-V,CSA26,no,,Advance 3D Animation
BSC AM 7th SEM,AMU-411-V,CSA16,no,,Game Design-II (Game Development Lab)
BSC AM 7th SEM,AMU-413-V,CSA11,no,,3D Visual Effects (Fluids Effects Lab
BSC AM 7th SEM,BGC-435-V,CSA12,no,,Virtual Reality & Augmented Reality Lab
MSC AM 1ST SEM,MSC-AM-26-101,CSA14,no,,Animation & Storytelling
MSC AM 1ST SEM,MSC-AM-26-102,CSA12,no,,Virtual Reality & Augmented Reality
MSC AM 1ST SEM,MSC-AM-26-103,CSA15,no,,Audio-Video Production Techniques
MSC AM 1ST SEM,MSC-AM-26-106-A,CSA27,no,,Elective–I (2D Character Design)
MSC AM 1ST SEM,MSC-AM-10-108-A,CSA26,no,,Lab Based Elective–I (2D Character Design Lab)
MSC AM 1ST SEM,MSC-AM-26-107-D,CSA15,no,,Elective–II (Digital Graphics)
MSC AM 1ST SEM,MSC-AM-26-109-D,CSA14,no,,Elective–II Lab (Digital Graphics Lab)
MSC AM 1ST SEM,MSC-AM-26-104,CSA12,no,,Virtual Reality & Augmented Reality Lab
MSC AM 1ST SEM,MSC-AM-26-105,CSA15,no,,Audio-Video Production Techniques Lab
MSC AM 3rd SEM,AMP-213-V,CSA13,no,,3D ANIMATION
MSC AM 3rd SEM,AMP-223-V,CSA13,no,,3D ANIMATION LAB
MSC AM 3rd SEM,AEC-315-V,CSA08,no,,OPEN ELECTIVe (Personality Development and Soft Skills)
