section_id,subject_number,instructor_uid,shared_lab,second_instructor_uid
MCA 3rd Sem,CA043,T082,false,
MCA 3rd Sem,CA044,T080,false,
MSc AM 1st Sem,CA050,GF909,false,
MSc AM 1st Sem,CA058,GF912,false,
MSc AM 1st Sem,CA067,GF909,false,
MSc AM 3rd Sem,CA057,T089,false,
MSc AM 3rd Sem,CA064,T088,false,
MSc AM 3rd Sem,CA065,T088,false,
MSc AM 3rd Sem,CA075,T080,false,
MTech 1st Sem,CS015,T049,false,
MTech 1st Sem,CS206,T030,false,
MTech 1st Sem,CS207,T049,false,
MTech 1st Sem,CS209,T019,false,
MTech 1st Sem,CS210,T050,false,
MTech 1st Sem,CS211,T001,false,
MTech 1st Sem,CS212,GF908,false,
MTech 3rd Sem,CS010,T048,false,
MTech 3rd Sem,CS213,GF908,false,
MTech 3rd Sem,CS214,T024,false,
DM-A 1st Sem,DM001,DT01,false,
DM-A 1st Sem,DM002,DT02,false,
DM-A 1st Sem,DM003,DT03,false,
DM-A 1st Sem,DM004,DT04,false,
DM-A 1st Sem,DM005,DT05,false,
DM-A 1st Sem,DM006,DT01,false,
DM-A 1st Sem,DM007,DT05,false,
DM-B 1st Sem,DM001,DT01,false,
DM-B 1st Sem,DM002,DT02,false,
DM-B 1st Sem,DM003,DT03,false,
DM-B 1st Sem,DM004,DT04,false,
DM-B 1st Sem,DM005,DT06,false,
DM-B 1st Sem,DM006,DT02,false,
DM-B 1st Sem,DM007,DT06,false,
DM-C 1st Sem,DM001,DT03,false,
DM-C 1st Sem,DM002,DT04,false,
DM-C 1st Sem,DM003,DT05,false,
DM-C 1st Sem,DM004,DT06,false,
DM-C 1st Sem,DM005,DT01,false,
DM-C 1st Sem,DM006,DT03,false,
DM-C 1st Sem,DM007,DT01,false,
