department_code,subject_number,subject_name,room_required,required_lab_category,specific_equipment/software_lab,classes_per_week,max_numb_students,duration
CHE,CHU-101-V,Inorganic Chemistry - I,LECTURE HALL,,,4,,1
CHE,CHU-103-V,Physical Chemistry - I,LECTURE HALL,,,4,,1
CHE,CHU-105-V--CHU-107-V(1),IC G1 -- PC G2,LAB,BSc Lab;PHYSICAL CHEMISTRY LAB,,1,,2
CHE,CHU-105-V--CHU-107-V(2),IC G2 -- PC G1,LAB,BSc Lab;PHYSICAL CHEMISTRY LAB,,1,,2
CHE,OSU-115-V,Basic Algebra,LECTURE HALL,,,4,,1
CHE,JMU-101-V,Introduction to Communication,LECTURE HALL,,,3,,1
CHE,AEC-101-V ,Writing Skills and the Art of Rhetoric (WSAAR),LECTURE HALL,,,2,,1
CHE,CHU-109-V,Instrumentation Skills-I ,LECTURE HALL,,,2,,1
CHE,CHU-111-V,Instrumentation Skills Lab-1,LAB,ORGANIC CHEMISTRY LAB,,1,,2
CHE,ESU-101-V,Environmental Studies– I (EVS-I),LECTURE HALL,,,2,,1
CHE,CHU-201-V,Inorganic Chemistry - II,LECTURE HALL,,,4,,1
CHE,CHU-203-V,Organic Chemistry – II,LECTURE HALL,,,4,,1
CHE,CHU-205-V,Physical Chemistry – III,LECTURE HALL,,,4,,1
CHE,CHU-207-V,Organic Chemistry Lab – II,LAB,ORGANIC CHEMISTRY LAB,,2,,2
CHE,CHU-209-V,Physical Chemistry Lab - III,LAB,BSc Lab,,2,,2
CHE,MTU-211-V,Linear Algebra,LECTURE HALL,,,4,,1
CHE,JMU-103-V,Introduction to Communication-II,LECTURE HALL,,,3,,1
CHE,AEC-103-V,Effective Corporate Communication,LECTURE HALL,,,2,,1
CHE,CHU-211-V,Analytical Lab – I,LAB,PHYSICAL CHEMISTRY LAB,,2,,2
CHE,VAC-108-V,Universal Human Values 2,LECTURE HALL,,,2,,1
CHE,CHU-301-V,Organic Chemistry – IV,LECTURE HALL,,,4,,1
CHE,CHU-302-V,Physical Chemistry – V,LECTURE HALL,,,4,,1
CHE,CHU-303-V/CHU-304-V,Organic Chemistry Lab – IV/Physical Chemistry Lab - V,LAB,BSc Lab;PHYSICAL CHEMISTRY LAB,,2,,2
CHE,PHU-317-V,Error Analysis and Research ethics,LECTURE HALL,,,3,,1
CHE,PHU-319-V/CHU-312-V,Error Analysis and Research ethics lab/Polymer Chemistry lab,LAB,PHY LAB(NOT ALLOTED);INORGANIC CHEMISTRY LAB,,1,,2
CHE,CHU-311-V,Polymer Chemistry,LECTURE HALL,,,4,,1
CHE,CHU-401-V,Inorganic Chemistry – V,LECTURE HALL,,,4,,1
CHE,CHU-413-V,Seminar MSc-II,SEMINAR,,,1,,1
CHE,CHU-417-V,Research Resourcing,LECTURE HALL,,,3,,1
